Product_ID,Product_Name,Product_Number,Product_Sub_Category_ID
49,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",FUR-BO-10004834,1
50,"Hon Multipurpose Stacking Arm Chairs",FUR-CH-10000015,2
51,"Global Comet Stacking Armless Chair",FUR-CH-10000155,2
52,"Global Geo Office Task Chair, Gray",FUR-CH-10000225,2
53,"Global Enterprise Series Seating High-Back Swivel/Tilt Chairs",FUR-CH-10000229,2
54,"Global Comet Stacking Arm Chair",FUR-CH-10000309,2
55,"Global Highback Leather Tilter in Burgundy",FUR-CH-10000422,2
56,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454,2
57,"High-Back Leather Manager's Chair",FUR-CH-10000513,2
58,"Metal Folding Chairs, Beige, 4/Carton",FUR-CH-10000553,2
59,"Safco Contoured Stacking Chairs",FUR-CH-10000595,2
60,"Global Airflow Leather Mesh Back Chair, Black",FUR-CH-10000665,2
61,"Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms",FUR-CH-10000749,2
62,"Global Ergonomic Managers Chair",FUR-CH-10000785,2
63,"Global Executive Mid-Back Manager's Chair",FUR-CH-10000847,2
64,"Novimex Swivel Fabric Task Chair",FUR-CH-10000863,2
65,"Hon Olson Stacker Stools",FUR-CH-10000988,2
66,"Global Value Mid-Back Manager's Chair, Gray",FUR-CH-10001146,2
67,"Global Deluxe High-Back Office Chair in Storm",FUR-CH-10001190,2
68,"Global Troy Executive Leather Low-Back Tilter",FUR-CH-10001215,2
69,"Harbour Creations Steel Folding Chair",FUR-CH-10001270,2
70,"Global Leather Executive Chair",FUR-CH-10001394,2
71,"Office Star - Mesh Screen back chair with Vinyl seat",FUR-CH-10001482,2
72,"Hon Comfortask Task/Swivel Chairs",FUR-CH-10001545,2
73,"Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back",FUR-CH-10001708,2
74,"Global Leather & Oak Executive Chair, Burgundy",FUR-CH-10001714,2
75,"Safco Chair Connectors, 6/Carton",FUR-CH-10001797,2
76,"Hon Every-Day Chair Series Swivel Task Chairs",FUR-CH-10001802,2
77,"Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat",FUR-CH-10001854,2
78,"Global Deluxe Office Fabric Chairs",FUR-CH-10001891,2
79,"Office Star Flex Back Scooter Chair with White Frame",FUR-CH-10001973,2
80,"SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair",FUR-CH-10002017,2
81,"HON 5400 Series Task Chairs for Big and Tall",FUR-CH-10002024,2
82,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",FUR-CH-10002044,2
83,"Hon Olson Stacker Chairs",FUR-CH-10002073,2
84,"Hon Mobius Operator's Chair",FUR-CH-10002084,2
85,"Hon Deluxe Fabric Upholstered Stacking Chairs",FUR-CH-10002126,2
86,"Global Stack Chair without Arms, Black",FUR-CH-10002304,2
87,"Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs",FUR-CH-10002317,2
88,"Hon Pagoda Stacking Chairs",FUR-CH-10002320,2
89,"Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms",FUR-CH-10002331,2
90,"Hon GuestStacker Chair",FUR-CH-10002335,2
91,"Office Star - Ergonomically Designed Knee Chair",FUR-CH-10002372,2
92,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",FUR-CH-10002439,2
93,"DMI Arturo Collection Mission-style Design Wood Chair",FUR-CH-10002602,2
94,"Situations Contoured Folding Chairs, 4/Set",FUR-CH-10002647,2
95,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",FUR-CH-10002758,2
96,"Global Deluxe Stacking Chair, Gray",FUR-CH-10002774,2
97,"Office Star - Task Chair with Contemporary Loop Arms",FUR-CH-10002780,2
98,"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880,2
99,"Leather Task Chair, Black",FUR-CH-10002961,2
100,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",FUR-CH-10002965,2
101,"Global Leather Task Chair, Black",FUR-CH-10003061,2
102,"Office Star - Contemporary Task Swivel Chair",FUR-CH-10003199,2
103,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",FUR-CH-10003298,2
104,"Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs",FUR-CH-10003312,2
105,"Global Commerce Series High-Back Swivel/Tilt Chairs",FUR-CH-10003379,2
106,"Global Deluxe Steno Chair",FUR-CH-10003396,2
107,"Global Armless Task Chair, Royal Blue",FUR-CH-10003535,2
108,"SAFCO Folding Chair Trolley",FUR-CH-10003606,2
109,"Hon 4070 Series Pagoda Round Back Stacking Chairs",FUR-CH-10003746,2
110,"Global Italian Leather Office Chair",FUR-CH-10003761,2
111,"Global Wood Trimmed Manager's Task Chair, Khaki",FUR-CH-10003774,2
112,"Global Value Steno Chair, Gray",FUR-CH-10003817,2
113,"Novimex Fabric Task Chair",FUR-CH-10003833,2
114,"Hon Valutask Swivel Chairs",FUR-CH-10003846,2
115,"Novimex High-Tech Fabric Mesh Task Chair",FUR-CH-10003956,2
116,"Novimex Turbo Task Chair",FUR-CH-10003968,2
117,"GuestStacker Chair with Chrome Finish Legs",FUR-CH-10003973,2
118,"Global Commerce Series Low-Back Swivel/Tilt Chairs",FUR-CH-10003981,2
119,"Global Deluxe High-Back Manager's Chair",FUR-CH-10004063,2
120,"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs",FUR-CH-10004086,2
121,"Global Fabric Manager's Chair, Dark Gray",FUR-CH-10004218,2
122,"SAFCO Arco Folding Chair",FUR-CH-10004287,2
123,"Global Super Steno Chair",FUR-CH-10004289,2
124,"Global Push Button Manager's Chair, Indigo",FUR-CH-10004477,2
125,"Global Leather and Oak Executive Chair, Black",FUR-CH-10004495,2
126,"Global Chrome Stack Chair",FUR-CH-10004540,2
127,"Office Star Flex Back Scooter Chair with Aluminum Finish Frame",FUR-CH-10004626,2
128,"Lifetime Advantage Folding Chairs, 4/Carton",FUR-CH-10004675,2
129,"Padded Folding Chairs, Black, 4/Carton",FUR-CH-10004698,2
130,"Global Stack Chair with Arms, Black",FUR-CH-10004754,2
131,"Global Manager's Adjustable Task Chair, Storm",FUR-CH-10004853,2
132,"Global Low Back Tilter Chair",FUR-CH-10004860,2
133,"Harbour Creations 67200 Series Stacking Chairs",FUR-CH-10004875,2
134,"Bevis Steel Folding Chairs",FUR-CH-10004886,2
135,"Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms",FUR-CH-10004983,2
136,"Hon Every-Day Series Multi-Task Chairs",FUR-CH-10004997,2
137,"DAX Value U-Channel Document Frames, Easel Back",FUR-FU-10000010,3
138,"Eldon Wave Desk Accessories",FUR-FU-10000023,3
139,"Deflect-O Glasstique Clear Desk Accessories",FUR-FU-10000073,3
140,"24-Hour Round Wall Clock",FUR-FU-10000076,3
141,"Executive Impressions 14" Two-Color Numerals Wall Clock"",FUR-FU-10000087,3
142,"DAX Wood Document Frame.",FUR-FU-10000175,3
143,"Tenex Chairmats For Use with Hard Floors",FUR-FU-10000193,3
144,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",FUR-FU-10000206,3
145,"Master Caster Door Stop, Brown",FUR-FU-10000221,3
146,"Seth Thomas 16" Steel Case Clock"",FUR-FU-10000222,3
147,"Aluminum Document Frame",FUR-FU-10000246,3
148,"6" Cubicle Wall Clock",FUR-FU-10000260,3
149,"Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting",FUR-FU-10000277,3
150,"Eldon Antistatic Chair Mats for Low to Medium Pile Carpets",FUR-FU-10000293,3
151,"Tenex V2T-RE Standard Weight Series Chair Mat, 45" x 53""",FUR-FU-10000305,3
152,"Deflect-o Glass Clear Studded Chair Mats",FUR-FU-10000308,3
153,"OIC Stacking Trays",FUR-FU-10000320,3
154,"Luxo Economy Swing Arm Lamp",FUR-FU-10000397,3
155,"GE 4 Foot Flourescent Tube, 40 Watt",FUR-FU-10000409,3
156,"Tenex Chairmats For Use With Carpeted Floors",FUR-FU-10000448,3
157,"Seth Thomas 14" Putty-Colored Wall Clock"",FUR-FU-10000521,3
158,"Stacking Trays by OIC",FUR-FU-10000550,3
159,"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base",FUR-FU-10000576,3
160,"9-3/4 Diameter Round Wall Clock",FUR-FU-10000629,3
161,"Executive Impressions 10" Spectator Wall Clock"",FUR-FU-10000672,3
162,"DAX Cubicle Frames, 8-1/2 x 11",FUR-FU-10000719,3
163,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",FUR-FU-10000723,3
164,"Eldon 200 Class Desk Accessories",FUR-FU-10000732,3
165,"Tenex B1-RE Series Chair Mats for Low Pile Carpets",FUR-FU-10000747,3
166,"Eldon Expressions Mahogany Wood Desk Collection",FUR-FU-10000755,3
167,"DAX Natural Wood-Tone Poster Frame",FUR-FU-10000758,3
168,"Eldon 200 Class Desk Accessories, Smoke",FUR-FU-10000771,3
169,"Eldon Stackable Tray, Side-Load, Legal, Smoke",FUR-FU-10000794,3
170,"Tensor Brushed Steel Torchiere Floor Lamp",FUR-FU-10000820,3
171,"Howard Miller 11-1/2" Diameter Ridgewood Wall Clock"",FUR-FU-10000965,3
172,"Eldon Imˆge Series Desk Accessories, Clear",FUR-FU-10001025,3
173,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",FUR-FU-10001037,3
174,"Tensor Track Tree Floor Lamp",FUR-FU-10001057,3
175,"3M Polarizing Light Filter Sleeves",FUR-FU-10001085,3
176,"DAX Black Cherry Wood-Tone Poster Frame",FUR-FU-10001095,3
177,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",FUR-FU-10001185,3
178,"DAX Cubicle Frames - 8x10",FUR-FU-10001196,3
179,"Howard Miller 11-1/2" Diameter Brentwood Wall Clock"",FUR-FU-10001215,3
180,"Executive Impressions Supervisor Wall Clock",FUR-FU-10001290,3
181,"Executive Impressions 16-1/2" Circular Wall Clock"",FUR-FU-10001379,3
182,"Dax Clear Box Frame",FUR-FU-10001424,3
183,"Tenex Antistatic Computer Chair Mats",FUR-FU-10001468,3
184,"DAX Wood Document Frame",FUR-FU-10001473,3
185,"Contract Clock, 14"",FUR-FU-10001475,3
186,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",FUR-FU-10001487,3
187,"Tenex 46" x 60"" Computer Anti-Static Chairmat",FUR-FU-10001488,3
188,"Dana Swing-Arm Lamps",FUR-FU-10001546,3
189,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",FUR-FU-10001588,3
190,"Advantus Panel Wall Certificate Holder - 8.5x11",FUR-FU-10001591,3
191,"Eldon Delta Triangular Chair Mat, 52" x 58""",FUR-FU-10001602,3
192,"Executive Impressions 8-1/2" Career Panel/Partition Cubicle Clock"",FUR-FU-10001617,3
193,"Longer-Life Soft White Bulbs",FUR-FU-10001706,3
194,"Acrylic Self-Standing Desk Frames",FUR-FU-10001731,3
195,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",FUR-FU-10001756,3
196,"Eldon Image Series Black Desk Accessories",FUR-FU-10001847,3
197,"Eldon Regeneration Recycled Desk Accessories, Smoke",FUR-FU-10001852,3
198,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",FUR-FU-10001861,3
199,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",FUR-FU-10001867,3
200,"Computer Room Manger, 14""",FUR-FU-10001876,3
201,"Ultra Door Pull Handle",FUR-FU-10001889,3
202,"C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings",FUR-FU-10001918,3
203,"Magnifier Swing Arm Lamp",FUR-FU-10001934,3
204,"3M Hangers With Command Adhesive",FUR-FU-10001935,3
205,"Staple-based wall hangings",FUR-FU-10001940,3
206,"Telescoping Adjustable Floor Lamp",FUR-FU-10001967,3
207,"Dana Halogen Swing-Arm Architect Lamp",FUR-FU-10001979,3
208,"Dana Fluorescent Magnifying Lamp, White, 36""",FUR-FU-10001986,3
209,"Executive Impressions 14" Contract Wall Clock with Quartz Movement"",FUR-FU-10002030,3
210,"Executive Impressions 14""",FUR-FU-10002045,3
211,"Nu-Dell Float Frame 11 x 14 1/2",FUR-FU-10002088,3
212,"Eldon Pizzaz Desk Accessories",FUR-FU-10002107,3
213,"Master Caster Door Stop, Large Brown",FUR-FU-10002111,3
214,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",FUR-FU-10002116,3
215,"Artistic Insta-Plaque",FUR-FU-10002157,3
216,"G.E. Halogen Desk Lamp Bulbs",FUR-FU-10002191,3
217,"Nu-Dell EZ-Mount Plastic Wall Frames",FUR-FU-10002240,3
218,"Howard Miller 13" Diameter Pewter Finish Round Wall Clock"",FUR-FU-10002253,3
219,"Ultra Door Push Plate",FUR-FU-10002268,3
220,"Rubbermaid ClusterMat Chairmats, Mat Size- 66" x 60""",FUR-FU-10002298,3
221,"Eldon Expressions Wood Desk Accessories, Oak",FUR-FU-10002364,3
222,"Eldon Econocleat Chair Mats for Low Pile Carpets",FUR-FU-10002379,3
223,"DAX Copper Panel Document Frame, 5 x 7 Size",FUR-FU-10002396,3
224,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",FUR-FU-10002445,3
225,"Master Caster Door Stop, Large Neon Orange",FUR-FU-10002456,3
226,"Nu-Dell Executive Frame",FUR-FU-10002501,3
227,"Eldon 100 Class Desk Accessories",FUR-FU-10002505,3
228,"Tensor "Hersey Kiss"" Styled Floor Lamp"",FUR-FU-10002506,3
229,"Document Clip Frames",FUR-FU-10002508,3
230,"Electrix Incandescent Magnifying Lamp, Black",FUR-FU-10002553,3
231,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",FUR-FU-10002554,3
232,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",FUR-FU-10002597,3
233,"Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp",FUR-FU-10002671,3
234,"Executive Impressions 13-1/2" Indoor/Outdoor Wall Clock"",FUR-FU-10002685,3
235,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36" x 48"""",FUR-FU-10002703,3
236,"12-1/2 Diameter Round Wall Clock",FUR-FU-10002759,3
237,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",FUR-FU-10002813,3
238,"Ultra Commercial Grade Dual Valve Door Closer",FUR-FU-10002874,3
239,"Seth Thomas 14" Day/Date Wall Clock"",FUR-FU-10002878,3
240,"Magna Visual Magnetic Picture Hangers",FUR-FU-10002885,3
241,"Eldon ClusterMat Chair Mat with Cordless Antistatic Protection",FUR-FU-10002918,3
242,"GE 48" Fluorescent Tube",FUR-FU-10002937,3
243,"Eldon 200 Class Desk Accessories, Burgundy",FUR-FU-10002960,3
244,"Master Caster Door Stop, Gray",FUR-FU-10002963,3
245,"Eldon Regeneration Recycled Desk Accessories, Black",FUR-FU-10003026,3
246,"Howard Miller 11-1/2" Diameter Grantwood Wall Clock"",FUR-FU-10003039,3
247,"Linden 12" Wall Clock With Oak Frame"",FUR-FU-10003095,3
248,"Master Giant Foot Doorstop, Safety Yellow",FUR-FU-10003096,3
249,"Master Big Foot Doorstop, Beige",FUR-FU-10003142,3
250,"Luxo Adjustable Task Clamp Lamp",FUR-FU-10003192,3
251,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",FUR-FU-10003194,3
252,"36X48 HARDFLOOR CHAIRMAT",FUR-FU-10003247,3
253,"Eldon Radial Chair Mat for Low to Medium Pile Carpets",FUR-FU-10003268,3
254,"Regeneration Desk Collection",FUR-FU-10003274,3
255,"Coloredge Poster Frame",FUR-FU-10003347,3
256,"Electrix Fluorescent Magnifier Lamps & Weighted Base",FUR-FU-10003374,3
257,"Tenex "The Solids"" Textured Chair Mats"",FUR-FU-10003394,3
258,"Nu-Dell Oak Frame",FUR-FU-10003424,3
259,"Seth Thomas 8 1/2" Cubicle Clock"",FUR-FU-10003464,3
260,"Contemporary Borderless Frame",FUR-FU-10003489,3
261,"Howard Miller Distant Time Traveler Alarm Clock",FUR-FU-10003535,3
262,"Howard Miller 13-1/2" Diameter Rosebrook Wall Clock"",FUR-FU-10003553,3
263,"Nu-Dell Leatherette Frames",FUR-FU-10003577,3
264,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",FUR-FU-10003601,3
265,"DataProducts Ampli Magnifier Task Lamp, Black,",FUR-FU-10003623,3
266,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",FUR-FU-10003664,3
267,"Eldon Image Series Desk Accessories, Ebony",FUR-FU-10003691,3
268,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48"""",FUR-FU-10003708,3
269,"Westinghouse Clip-On Gooseneck Lamps",FUR-FU-10003724,3
270,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",FUR-FU-10003731,3
271,"Eldon Cleatmat Plus Chair Mats for High Pile Carpets",FUR-FU-10003773,3
272,"Ultra Door Kickplate, 8"H x 34""W"",FUR-FU-10003798,3
273,"Seth Thomas 13 1/2" Wall Clock"",FUR-FU-10003799,3
274,"Tenex Chairmat w/ Average Lip, 45" x 53"""",FUR-FU-10003806,3
275,"Stackable Trays",FUR-FU-10003829,3
276,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",FUR-FU-10003832,3
277,"DAX Metal Frame, Desktop, Stepped-Edge",FUR-FU-10003849,3
278,"Linden 10" Round Wall Clock",FUR-FU-10003878,3
279,"Eldon Executive Woodline II Cherry Finish Desk Accessories",FUR-FU-10003919,3
280,"Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock",FUR-FU-10003930,3
281,"Eldon Advantage Chair Mats for Low to Medium Pile Carpets",FUR-FU-10003975,3
282,"DAX Executive Solid Wood Document Frame, Desktop or Hang, Mahogany, 5 x 7",FUR-FU-10003976,3
283,"Eldon Wave Desk Accessories",FUR-FU-10003981,3
284,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",FUR-FU-10004006,3
285,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39" x 49"""",FUR-FU-10004017,3
286,"Tensor Computer Mounted Lamp",FUR-FU-10004018,3
287,"Advantus Panel Wall Acrylic Frame",FUR-FU-10004020,3
288,"DAX Two-Tone Silver Metal Document Frame",FUR-FU-10004053,3
289,"Luxo Professional Magnifying Clamp-On Fluorescent Lamps",FUR-FU-10004071,3
290,"Executive Impressions 14" Contract Wall Clock"",FUR-FU-10004090,3
291,"Howard Miller 13" Diameter Goldtone Round Wall Clock"",FUR-FU-10004091,3
292,"Hand-Finished Solid Wood Document Frame",FUR-FU-10004093,3
293,"Eldon 300 Class Desk Accessories, Black",FUR-FU-10004164,3
294,"Luxo Professional Combination Clamp-On Lamps",FUR-FU-10004188,3
295,"Career Cubicle Clock, 8 1/4"",FUR-FU-10004245,3
296,"Eldon Image Series Desk Accessories, Burgundy",FUR-FU-10004270,3
297,"Electrix Halogen Magnifier Lamp",FUR-FU-10004306,3
298,"Staple-based wall hangings",FUR-FU-10004351,3
299,"Stacking Tray, Side-Loading, Legal, Smoke",FUR-FU-10004415,3
300,"Howard Miller 12" Round Wall Clock"",FUR-FU-10004460,3
301,"G.E. Longer-Life Indoor Recessed Floodlight Bulbs",FUR-FU-10004586,3
302,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",FUR-FU-10004587,3
303,"Eldon Cleatmat Chair Mats for Medium Pile Carpets",FUR-FU-10004597,3
304,"Eldon Advantage Foldable Chair Mats for Low Pile Carpets",FUR-FU-10004622,3
305,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",FUR-FU-10004665,3
306,"DAX Clear Channel Poster Frame",FUR-FU-10004666,3
307,"Executive Impressions 12" Wall Clock"",FUR-FU-10004671,3
308,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",FUR-FU-10004712,3
309,"Howard Miller 16" Diameter Gallery Wall Clock"",FUR-FU-10004748,3
310,"Deflect-o EconoMat Nonstudded, No Bevel Mat",FUR-FU-10004845,3
311,"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock"",FUR-FU-10004848,3
312,"Howard Miller 14-1/2" Diameter Chrome Round Wall Clock"",FUR-FU-10004864,3
313,"Eldon "L"" Workstation Diamond Chairmat"",FUR-FU-10004904,3
314,"Contemporary Wood/Metal Frame",FUR-FU-10004909,3
315,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",FUR-FU-10004952,3
316,"Seth Thomas 12" Clock w/ Goldtone Case"",FUR-FU-10004960,3
317,"Eldon 400 Class Desk Accessories, Black Carbon",FUR-FU-10004963,3
318,"Flat Face Poster Frame",FUR-FU-10004973,3
319,"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",FUR-TA-10000198,4
320,"Bretford CR4500 Series Slim Rectangular Table",FUR-TA-10000577,4
321,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",FUR-TA-10000617,4
322,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",FUR-TA-10000688,4
323,"Bevis Rectangular Conference Tables",FUR-TA-10000849,4
324,"KI Adjustable-Height Table",FUR-TA-10001039,4
325,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",FUR-TA-10001086,4
326,"Chromcraft Round Conference Tables",FUR-TA-10001095,4
327,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",FUR-TA-10001307,4
328,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",FUR-TA-10001520,4
329,"Chromcraft Rectangular Conference Tables",FUR-TA-10001539,4
330,"Hon 61000 Series Interactive Training Tables",FUR-TA-10001676,4
331,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",FUR-TA-10001691,4
332,"Bush Advantage Collection Round Conference Table",FUR-TA-10001705,4
333,"Hon Racetrack Conference Tables",FUR-TA-10001768,4
334,"Bush Cubix Conference Tables, Fully Assembled",FUR-TA-10001771,4
335,"Balt Solid Wood Rectangular Table",FUR-TA-10001857,4
336,"Bevis Round Conference Room Tables and Bases",FUR-TA-10001866,4
337,"Bush Advantage Collection Racetrack Conference Table",FUR-TA-10001889,4
338,"Chromcraft 48" x 96"" Racetrack Double Pedestal Table"",FUR-TA-10001932,4
339,"Balt Solid Wood Round Tables",FUR-TA-10001950,4
340,"Bevis Round Conference Table Top, X-Base",FUR-TA-10002041,4
341,"Bevis Traditional Conference Table Top, Plinth Base",FUR-TA-10002228,4
342,"Bevis Boat-Shaped Conference Table",FUR-TA-10002356,4
343,"Iceberg OfficeWorks 42" Round Tables"",FUR-TA-10002530,4
344,"BPI Conference Tables",FUR-TA-10002533,4
345,"KI Conference Tables",FUR-TA-10002607,4
346,"Bush Andora Conference Table, Maple/Graphite Gray Finish",FUR-TA-10002622,4
347,"Hon Rectangular Conference Tables",FUR-TA-10002645,4
348,"Laminate Occasional Tables",FUR-TA-10002774,4
349,"Bevis Round Conference Table Top & Single Column Base",FUR-TA-10002855,4
350,"Bevis Round Bullnose 29" High Table Top"",FUR-TA-10002903,4
351,"Bevis Oval Conference Table, Walnut",FUR-TA-10002958,4
352,"Lesro Round Back Collection Coffee Table, End Table",FUR-TA-10003008,4
353,"Chromcraft Bull-Nose Wood 48" x 96"" Rectangular Conference Tables"",FUR-TA-10003238,4
354,"Global Adaptabilities Conference Tables",FUR-TA-10003392,4
355,"Balt Split Level Computer Training Table",FUR-TA-10003469,4
